0,Heather Morris,James Lawrence,+3163337174,+3164418934
1,Heather Morris,Ronnie Cook,+3163337174,+3168517169
2,Fred Jones,Susan Wong,+3162997281,+3162564217
3,Martha Batista,Charles Whaley,+3168197443,+3168517485
4,Maxine Kiefer,Willie Kahl,+3161876828,+3161785277
5,Willie Kahl,Maxine Kiefer,+3161785277,+3161876828
6,Maxine Kiefer,Willie Kahl,+3161876828,+3161785277
7,Susan Wong,Martha Batista,+3162564217,+3168197443
8,Ronnie Cook,Heather Morris,+3168517169,+3163337174
9,Ronnie Cook,Heather Morris,+3168517169,+3163337174
10,Tamika Nieto,Charles Whaley,+3166273233,+3168517485
11,Jennifer Harvey,Fred Jones,+3169049278,+3162997281
12,Sandra Goodwin,Tamika Nieto,+3160326765,+3166273233
13,Charles Whaley,Ronnie Cook,+3168517485,+3168517169
14,Heather Morris,James Lawrence,+3163337174,+3164418934
15,Ricky Rosenberg,James Lawrence,+3162710343,+3164418934
16,Randy Howard,Fred Jones,+3166089806,+3162997281
17,Randy Howard,Fred Jones,+3166089806,+3162997281
18,James Lawrence,Maxine Kiefer,+3164418934,+3161876828
19,William Lee,James Lawrence,+3168398441,+3164418934
20,Fred Jones,Susan Wong,+3162997281,+3162564217
21,Ricky Rosenberg,James Lawrence,+3162710343,+3164418934
22,Sandra Goodwin,Antonio Tweed,+3160326765,+3160009594
23,Susan Wong,Martha Batista,+3162564217,+3168197443
24,Ronnie Cook,Heather Morris,+3168517169,+3163337174
25,Willie Kahl,Maxine Kiefer,+3161785277,+3161876828
26,Heather Morris,Willie Kahl,+3163337174,+3161785277
27,Antonio Tweed,Jessica Weathers,+3160009594,+3165007072
28,Charles Whaley,Ricky Rosenberg,+3168517485,+3162710343
29,Antonio Tweed,Jennifer Harvey,+3160009594,+3169049278
30,Antonio Tweed,Jennifer Harvey,+3160009594,+3169049278
31,Ken Walson,James Lawrence,+3165438436,+3164418934
32,William Lee,Tamika Nieto,+3168398441,+3166273233
33,Charles Whaley,Ricky Rosenberg,+3168517485,+3162710343
34,Megan Towne,William Drake,+3168897858,+3165159230
35,Ricky Rosenberg,James Lawrence,+3162710343,+3164418934
36,Heather Morris,James Lawrence,+3163337174,+3164418934
37,Ronnie Cook,Heather Morris,+3168517169,+3163337174
38,Ken Walson,Willie Kahl,+3165438436,+3161785277
39,Antonio Tweed,Jessica Weathers,+3160009594,+3165007072
40,Susan Wong,Martha Batista,+3162564217,+3168197443
41,Heather Morris,James Lawrence,+3163337174,+3164418934
42,Ken Walson,James Lawrence,+3165438436,+3164418934
43,Charles Whaley,Ricky Rosenberg,+3168517485,+3162710343
44,Maxine Kiefer,James Lawrence,+3161876828,+3164418934
45,Fred Jones,Ronnie Cook,+3162997281,+3168517169
46,Jessica Weathers,Megan Towne,+3165007072,+3168897858
47,Martha Batista,Ricky Rosenberg,+3168197443,+3162710343
48,Ronnie Cook,Charles Whaley,+3168517169,+3168517485
49,William Lee,James Lawrence,+3168398441,+3164418934
50,Megan Towne,Charles Whaley,+3168897858,+3168517485
51,Megan Towne,Jessica Weathers,+3168897858,+3165007072
52,Ken Walson,Maxine Kiefer,+3165438436,+3161876828
53,Antonio Tweed,Sandra Goodwin,+3160009594,+3160326765
54,Maxine Kiefer,Martha Batista,+3161876828,+3168197443
55,Willie Kahl,Susan Wong,+3161785277,+3162564217
56,Tamika Nieto,William Lee,+3166273233,+3168398441
57,William Lee,Tamika Nieto,+3168398441,+3166273233
58,Maxine Kiefer,James Lawrence,+3161876828,+3164418934
59,Ricky Rosenberg,James Lawrence,+3162710343,+3164418934
